instance rs rt gs gt ts tt frs frt fgs fgt fts ftt brs brt bgs bgt bts btt vrs vrt vgs vgt vts vtt
OR10x250-0.50_3.dat 91664 0.038 101204 0.049 106943 2.145 104946 9.582 106474 2.157 108199 5.855 104406 44.637 106137 3.437 108510 9.053 106709 3026.01 107898 1861.41 108588 10745.7
OR10x250-0.50_4.dat 90503 0.03 99259 0.024 104665 1.413 107756 10.633 106337 1.323 109006 3.532 104382 32.909 106934 6.125 109364 20.861 108901 5107.01 108492 1936.27 109716 15966.7
OR10x250-0.50_5.dat 90377 0.035 101679 0.024 105932 1.421 100839 3.697 104784 1.922 107598 4.393 103823 39.913 104220 1.711 107669 10.298 107633 7421.1 107535 2749.81 108095 10918
OR10x250-0.50_6.dat 89712 0.028 101089 0.024 106951 1.416 106549 8.474 106157 0.571 109151 5.2 107772 47.336 107140 2.555 109101 11.147 109666 5737.78 110127 3876.44 110344 17571.1
OR10x250-0.50_7.dat 89089 0.058 98672 0.024 103782 1.518 101442 8.162 101453 0.791 105078 5.308 96877 17.759 102737 3.473 105342 13.037 105045 8764.38 105167 1376.38 105738 26243.2
OR10x250-0.50_8.dat 91067 0.055 99477 0.026 103828 1.417 101756 6.778 103878 1.945 105927 4.457 102389 32.106 104190 3.542 105592 12.667 105510 4017.71 105876 1737.87 106302 16285.7
OR10x250-0.50_9.dat 89258 0.049 102039 0.024 106111 1.408 102792 6.853 106827 1.228 108847 7.079 101285 22.643 107603 4.586 108397 9.513 108726 6683.56 109308 4196.41 109056 9939.53
OR10x250-0.75_10.dat 133265 0.019 146290 0.023 148049 2.071 145774 4.557 147573 3.447 149192 10.964 146672 45.108 146760 1.182 149027 16.059 148687 7372.98 149069 6047.68 149341 24644.3
OR10x250-0.75_1.dat 137234 0.044 146501 0.04 150280 3.02 147377 6.996 150090 1.469 151463 7.914 148781 44.106 150382 6.662 151157 12.089 150929 10438.3 151551 6992.77 151636 27779.9
OR10x250-0.75_2.dat 135591 0.06 143298 0.055 146415 3.204 144019 4.062 147621 2.416 148111 7.411 143611 20.825 146933 5.229 148087 18.465 148289 12193.5 148068 4374.3 148702 22019.7
OR10x250-0.75_3.dat 138230 0.058 146532 0.046 149646 2.974 148816 7.513 150583 2.54 151119 6.104 149928 45.274 149769 4.165 151683 29.361 151002 7394.24 151449 6112.11 151688 37718.4
OR10x250-0.75_4.dat 138647 0.033 145040 0.022 149631 2.022 147518 7.948 147886 2.675 150758 11.179 148432 29 147597 2.24 150942 18.544 150666 14439.4 150551 4518.27 151073 26270.6
OR10x250-0.75_5.dat 134240 0.031 146773 0.025 149761 2.187 150232 7.45 150366 1.631 151341 8.571 149407 40.75 149678 4.226 151489 19.45 151219 11923.7 151195 5566.55 151860 42757.3
OR10x250-0.75_6.dat 137521 0.036 147605 0.033 151049 2.539 148685 4.157 150695 2.282 151858 8.317 148215 20.692 149922 2.477 151869 15.239 151400 13066.8 151549 6348.6 151885 23136.2
OR10x250-0.75_7.dat 138671 0.031 148420 0.024 151411 2.192 148736 5.494 150991 1.25 152494 5.346 147725 30.388 150839 2.884 152735 16.015 152644 8005.5 152590 4407.41 152822 27555.4
OR10x250-0.75_8.dat 137336 0.033 148681 0.024 151309 2.031 150236 7.646 151175 0.941 152473 8.988 152181 54.524 152115 5.321 152676 17.013 152669 13328.9 153163 5336.93 153437 29380.8
OR10x250-0.75_9.dat 137337 0.154 144951 0.025 147908 2.034 145319 8.036 147777 1.24 148581 4.506 141247 5.761 148162 5.797 148860 19.258 148618 17628.3 148405 3463.54 148865 32475.9
